Question,Answer
Can you honor an expired code?,"We can’t reactivate expired codes, but sign up for email to get notified about upcoming promotions."
How do I cancel my order?,We can cancel orders before they are fulfilled. Contact support as soon as possible with your order number.
Can I change the items in my order after placing it?,"We can edit items before fulfillment begins. Once an order is packed or shipped, changes aren’t guaranteed."
How do I update my delivery address after ordering?,"Contact support quickly. If the package hasn’t shipped, we’ll correct it; otherwise, we’ll work with the carrier to request a reroute."
What are your customer support hours?,"Our team is available during standard business hours on weekdays, with limited weekend coverage. Exact hours are listed on our Contact page."
How fast do you reply to messages?,"We aim to respond within 1 business day. During peak seasons, replies may take a little longer."
Do you offer live chat?,"Yes, live chat is available on our site during support hours. If we’re offline, you can leave a message and we’ll email you back."
Can I speak to someone on the phone?,"Yes, phone support is available in select regions. Visit our Contact page for the current number and hours."
How do I report a problem with my order?,"Contact support with your order number, photos if applicable, and a description of the issue so we can resolve it quickly."
Do you provide invoices or receipts?,"Yes. Order confirmation emails include a receipt, and you can download invoices from your account."
How do I leave product feedback or a review?,"After delivery, we’ll email a review link. You can also review on the product page to help other shoppers."
Do you offer wholesale or bulk purchasing?,Yes. Submit a wholesale inquiry with your business details and expected volumes for tiered pricing.
Can I place a corporate gift order?,"Yes. Our team can help with branded notes, bulk addresses, and delivery timelines for corporate gifting."
Do you offer gift wrapping?,We offer optional gift packaging on select items. Choose gift options at checkout and add a personalized message.
Are your materials sustainably sourced?,We work with suppliers that prioritize responsible sourcing where possible. Product pages call out certifications and materials.
Do you use eco‑friendly packaging?,We use recyclable materials where feasible and continuously look for ways to reduce waste and plastic use.
Is your website accessible?,We strive to meet WCAG accessibility guidelines and regularly review our site. Contact us if you encounter any barriers.
Do you have a price‑match policy?,"For identical items sold by authorized retailers, contact us with a link. We’ll review eligibility case by case."
How do subscriptions handle out‑of‑stock items?,"We’ll notify you and either skip that cycle, replace it with a comparable item (with your approval), or ship when restocked."
How do you prevent fraud?,"We use automated screening and manual reviews for high‑risk orders, and may request additional verification before shipment."
Can I get a packing slip without prices for gifts?,Yes. Choose “This is a gift” at checkout and we’ll omit prices on the packing slip.
Why can’t I add an item to cart?,"If you see an error, clear your cache, try another browser, or check that the item and size are still in stock."
Why didn’t I receive order emails?,Check your spam folder and confirm your email is correct. Add our email to your safe sender list.
Do you sell digital products or downloads?,Some items include digital components. Download links are delivered by email and in your account after payment clears.
Why is my promo not applying on mobile?,Ensure the code is typed exactly and not expired. Try reloading the page or completing checkout on desktop.
Why was my cart emptied?,Carts can reset after long inactivity or browser updates. Creating an account saves your cart across devices.
Do you support Apple Pay and Google Pay on desktop?,"Yes, where supported by your browser and device. Buttons appear on the cart or checkout page."
Why is my card being charged twice?,You may see a temporary authorization hold plus the final charge. The hold should drop within a few business days.
How do I redeem a store credit online?,Enter the store credit code at checkout like a gift card. Remaining balances stay on the code for future use.
Can I check out over the phone?,"For security, we don’t accept full card numbers by phone. Our team can send a secure payment link instead."
Do you offer in‑store pickup or curbside?,"Where available, choose Pickup at checkout and wait for a 'Ready for Pickup' email before arriving."
Where can I read your full return and warranty policies?,All policies are linked in the footer and on product pages. Contact support if you have questions about a specific item.
How do you handle price errors?,"If a product is priced incorrectly, we’ll contact you before fulfillment. We reserve the right to cancel and refund per our policy."
Do you charge restocking fees?,We don’t charge restocking fees for most returns. Any exceptions or oversized items will be called out on product pages.
Are there age‑restricted items on the site?,Some items may require age verification at checkout or delivery. We comply with applicable local regulations.
How do you manage recalls or safety notices?,"If a product is recalled, we notify affected customers and provide instructions for returns, repairs, or replacements."
Do you collect or remit sales tax/VAT/GST?,"Yes, where required by law. Taxes are calculated at checkout based on your shipping address and local rules."
How do you handle chargebacks?,"We investigate each claim, provide documentation to the card issuer, and work with you to resolve any order issues."
Can I request a tax‑exempt purchase?,Eligible organizations can submit documentation for tax‑exempt status. Approved accounts will see tax removed at checkout.
Do you offer extended protection plans?,"For select categories, you can add a protection plan during checkout. Terms and coverage are provided before purchase."
How can I contact your Data Protection Officer (DPO)?,Submit a privacy request through our Privacy Center and your message will be routed to our data protection team.
